dataset,nb_trees,file,nb_quads,memory_usage,loading_time
n3,3,data/persondata_en_1M.ttl,999999,1287324,6.859067939000204
n3,3,data/persondata_en_1M.ttl,999999,1287396,6.893270781999454
tree,1,data/persondata_en_1M.ttl,999999,31560,10.651965834001079
tree,1,data/persondata_en_1M.ttl,999999,31876,10.739295582000166
wasm_tree,6,data/persondata_en_1M.ttl,999999,407648,7.453563628001138
wasm_tree,6,data/persondata_en_1M.ttl,999999,406856,7.308819421000779
graphy,1,data/persondata_en_1M.ttl,999999,594456,5.653060433000326
n3,3,data/persondata_en_1M.ttl,999999,1288948,6.893472068000585
wasm_tree,6,data/persondata_en_1M.ttl,999999,407912,7.4362485490012915
wasm_tree,1,data/persondata_en_1M.ttl,999999,412140,5.23906751799956
tree,6,data/persondata_en_1M.ttl,999999,31616,12.996464499998838
tree,6,data/persondata_en_1M.ttl,999999,30772,13.106212051000446
tree,6,data/persondata_en_1M.ttl,999999,31088,13.039126501999796
graphy,1,data/persondata_en_1M.ttl,999999,597176,6.2102855869997295
n3,3,data/persondata_en_1M.ttl,999999,1286432,6.866320243000984
n3,3,data/persondata_en_1M.ttl,999999,1287704,6.874759212000296
tree,6,data/persondata_en_1M.ttl,999999,30652,13.15346651600115
tree,6,data/persondata_en_1M.ttl,999999,30720,13.26566386399977
wasm_tree,6,data/persondata_en_1M.ttl,999999,407288,7.312223617000505
graphy,1,data/persondata_en_1M.ttl,999999,595492,5.5552493709996345
tree,6,data/persondata_en_1M.ttl,999999,30720,13.28549566899985
tree,6,data/persondata_en_1M.ttl,999999,31068,12.733392776999622
wasm_tree,6,data/persondata_en_1M.ttl,999999,408548,7.374744983000681
wasm_tree,1,data/persondata_en_1M.ttl,999999,411132,5.278052447998896
wasm_tree,1,data/persondata_en_1M.ttl,999999,410784,5.1823586470000444
n3,3,data/persondata_en_1M.ttl,999999,1292872,6.918376141000539
wasm_tree,1,data/persondata_en_1M.ttl,999999,410736,5.420167702998966
wasm_tree,6,data/persondata_en_1M.ttl,999999,406496,7.405278246000409
wasm_tree,6,data/persondata_en_1M.ttl,999999,408320,7.96142843499966
tree,6,data/persondata_en_1M.ttl,999999,31120,13.116379945999011
tree,1,data/persondata_en_1M.ttl,999999,31736,11.119699283000081
wasm_tree,6,data/persondata_en_1M.ttl,999999,407540,7.369958280000835
n3,3,data/persondata_en_1M.ttl,999999,1286216,6.845139367999509
wasm_tree,6,data/persondata_en_1M.ttl,999999,409528,7.360306097999215
tree,6,data/persondata_en_1M.ttl,999999,30968,12.660303231999277
wasm_tree,1,data/persondata_en_1M.ttl,999999,409256,5.915278127999977
n3,3,data/persondata_en_1M.ttl,999999,1290728,6.851176808001473
tree,1,data/persondata_en_1M.ttl,999999,31160,10.823023670999333
tree,1,data/persondata_en_1M.ttl,999999,30208,10.58776319700107
n3,3,data/persondata_en_1M.ttl,999999,1285408,7.787212460000068
wasm_tree,1,data/persondata_en_1M.ttl,999999,411164,5.212325973000377
graphy,1,data/persondata_en_1M.ttl,999999,594644,5.692344316000119
graphy,1,data/persondata_en_1M.ttl,999999,597376,5.386015497000888
tree,1,data/persondata_en_1M.ttl,999999,30948,10.467177632000297
n3,3,data/persondata_en_1M.ttl,999999,1288400,7.129526576999575
wasm_tree,1,data/persondata_en_1M.ttl,999999,411936,5.204395924000069
wasm_tree,6,data/persondata_en_1M.ttl,999999,408796,7.376843441000208
tree,6,data/persondata_en_1M.ttl,999999,31652,13.281403780000284
wasm_tree,1,data/persondata_en_1M.ttl,999999,412140,5.501138406999409
n3,3,data/persondata_en_1M.ttl,999999,1278524,6.942625955998897
n3,3,data/persondata_en_1M.ttl,999999,1286432,6.779533723000437
wasm_tree,6,data/persondata_en_1M.ttl,999999,407392,7.276819489998743
wasm_tree,1,data/persondata_en_1M.ttl,999999,412636,5.226725380999968
wasm_tree,6,data/persondata_en_1M.ttl,999999,406636,7.289234013000503
tree,1,data/persondata_en_1M.ttl,999999,31232,10.6112496369984
