dataset,nb_trees,file,nb_quads,memory_usage,loading_time
wasm_tree,1,data/persondata_en_1M.ttl,999999,411328,5.1819722269997
graphy,1,data/persondata_en_1M.ttl,999999,597016,5.618508035998792
wasm_tree,6,data/persondata_en_1M.ttl,999999,409508,7.233870287999511
wasm_tree,6,data/persondata_en_1M.ttl,999999,409100,7.353489422999322
graphy,1,data/persondata_en_1M.ttl,999999,596984,5.609004568999633
graphy,1,data/persondata_en_1M.ttl,999999,594964,5.657372101999819
n3,3,data/persondata_en_1M.ttl,999999,1287252,6.832391936000437
tree,1,data/persondata_en_1M.ttl,999999,31148,10.611738421998918
wasm_tree,6,data/persondata_en_1M.ttl,999999,407608,7.458014541000128
n3,3,data/persondata_en_1M.ttl,999999,1287176,7.724735406998545
n3,3,data/persondata_en_1M.ttl,999999,1289624,6.864361044999212
graphy,1,data/persondata_en_1M.ttl,999999,594968,5.65466001500003
wasm_tree,1,data/persondata_en_1M.ttl,999999,412396,5.250314652999863
n3,3,data/persondata_en_1M.ttl,999999,1286604,6.940702618999406
n3,3,data/persondata_en_1M.ttl,999999,1289712,6.880487903000787
wasm_tree,6,data/persondata_en_1M.ttl,999999,406124,7.226705834999681
tree,6,data/persondata_en_1M.ttl,999999,29696,10.53352248499915
wasm_tree,6,data/persondata_en_1M.ttl,999999,407148,7.654791149999946
tree,1,data/persondata_en_1M.ttl,999999,30572,10.333527352999896
wasm_tree,1,data/persondata_en_1M.ttl,999999,422580,5.239576811000704
graphy,1,data/persondata_en_1M.ttl,999999,597380,5.740132562000304
wasm_tree,1,data/persondata_en_1M.ttl,999999,411180,5.264341049000621
n3,3,data/persondata_en_1M.ttl,999999,1286928,6.792083675999194
tree,6,data/persondata_en_1M.ttl,999999,31356,11.09554107999988
graphy,1,data/persondata_en_1M.ttl,999999,594940,6.435254293998703
tree,6,data/persondata_en_1M.ttl,999999,30856,10.759284995999188
tree,6,data/persondata_en_1M.ttl,999999,30720,10.793290151000022
wasm_tree,1,data/persondata_en_1M.ttl,999999,410320,5.620984153000638
wasm_tree,6,data/persondata_en_1M.ttl,999999,407684,7.286149381998927
wasm_tree,6,data/persondata_en_1M.ttl,999999,407884,7.223211812999099
wasm_tree,1,data/persondata_en_1M.ttl,999999,411124,5.27336844599992
tree,1,data/persondata_en_1M.ttl,999999,32336,10.99098158899881
tree,1,data/persondata_en_1M.ttl,999999,30208,10.775661673000082
tree,6,data/persondata_en_1M.ttl,999999,31508,10.94791433400102
n3,3,data/persondata_en_1M.ttl,999999,1288728,6.913345775000751
n3,3,data/persondata_en_1M.ttl,999999,1276992,6.97176735999994
tree,1,data/persondata_en_1M.ttl,999999,31576,10.920588566999882
tree,6,data/persondata_en_1M.ttl,999999,31248,11.37081974199973
wasm_tree,1,data/persondata_en_1M.ttl,999999,410280,5.3374952489994465
graphy,1,data/persondata_en_1M.ttl,999999,595252,5.532532053999603
wasm_tree,6,data/persondata_en_1M.ttl,999999,406536,7.369007414000109
tree,6,data/persondata_en_1M.ttl,999999,30208,11.13243316799961
graphy,1,data/persondata_en_1M.ttl,999999,593432,5.485201549999416
tree,1,data/persondata_en_1M.ttl,999999,31232,10.761838322000578
n3,3,data/persondata_en_1M.ttl,999999,1272540,7.096635021999479
graphy,1,data/persondata_en_1M.ttl,999999,595616,5.597489733999595
n3,3,data/persondata_en_1M.ttl,999999,1288324,7.543785289999097
tree,1,data/persondata_en_1M.ttl,999999,31108,11.120513954998925
wasm_tree,6,data/persondata_en_1M.ttl,999999,407532,7.3477848329991104
graphy,1,data/persondata_en_1M.ttl,999999,593432,5.5609701450001445
tree,6,data/persondata_en_1M.ttl,999999,31748,10.707752950999886
graphy,1,data/persondata_en_1M.ttl,999999,597192,5.846182633999735
n3,3,data/persondata_en_1M.ttl,999999,1289056,6.83270794500038
tree,1,data/persondata_en_1M.ttl,999999,30720,11.102497537000104
wasm_tree,1,data/persondata_en_1M.ttl,999999,411104,5.210418035000563
wasm_tree,6,data/persondata_en_1M.ttl,999999,407832,7.576393741998822
graphy,1,data/persondata_en_1M.ttl,999999,596672,5.548095410000533
wasm_tree,1,data/persondata_en_1M.ttl,999999,411212,5.332804542001337
n3,3,data/persondata_en_1M.ttl,999999,1289124,6.859675629999488
wasm_tree,6,data/persondata_en_1M.ttl,999999,407148,7.206976727999747
tree,6,data/persondata_en_1M.ttl,999999,31272,11.007567485999315
graphy,1,data/persondata_en_1M.ttl,999999,597088,5.736774745000527
graphy,1,data/persondata_en_1M.ttl,999999,595700,5.78197453599982
tree,1,data/persondata_en_1M.ttl,999999,31008,10.75503548900038
n3,3,data/persondata_en_1M.ttl,999999,1290808,6.92989537499845
tree,6,data/persondata_en_1M.ttl,999999,31500,10.652527546999975
graphy,1,data/persondata_en_1M.ttl,999999,596280,5.817380466001108
n3,3,data/persondata_en_1M.ttl,999999,1285920,6.907338670998811
wasm_tree,6,data/persondata_en_1M.ttl,999999,407480,7.3407081270013
wasm_tree,6,data/persondata_en_1M.ttl,999999,407748,7.303518578000367
tree,6,data/persondata_en_1M.ttl,999999,30988,10.903137429999187
tree,6,data/persondata_en_1M.ttl,999999,32040,11.1910476479996
tree,1,data/persondata_en_1M.ttl,999999,31092,10.750958503998817
tree,1,data/persondata_en_1M.ttl,999999,31732,11.205695087999105
graphy,1,data/persondata_en_1M.ttl,999999,594480,5.651838940000162
wasm_tree,6,data/persondata_en_1M.ttl,999999,408824,7.330885439999402
tree,1,data/persondata_en_1M.ttl,999999,30644,10.699496678000315
tree,1,data/persondata_en_1M.ttl,999999,31184,11.082260286999867
tree,1,data/persondata_en_1M.ttl,999999,30356,10.780060162000359
n3,3,data/persondata_en_1M.ttl,999999,1286488,6.856588193999603
wasm_tree,6,data/persondata_en_1M.ttl,999999,409076,7.3306447270009665
